,Date,Time,Latitude,Longitude,Altitude,Speed,Heading,Signal Quality,Number of Satalites Connected,X-Axis Acceleration,Y-Axis Acceleration,Z-Axis Acceleration,Propultion Work (J),Braking Work (J),Offload Work (J),Energy Consumption (kWh),Displacement (m),Slope Angle (rad)
0,5/4/2022,13:14:00,-34.06944,18.82545,56.7,21.0,124.69,1,6,0.2,8.084,0.216,0.0,-57193.97016666666,200.0,-0.01583165837962963,0.0,0.0
1,5/4/2022,13:14:02,-34.06942,18.82544,56.8,5.61,300.55,1,5,0.2,0.208,0.216,0.0,-364.0589650157771,100.0,-7.334971250438254e-05,0.0,0.0
2,5/4/2022,13:14:03,-34.06942,18.82544,56.8,4.57,300.55,1,6,0.2,0.208,0.216,0.0,-3452.611796033754,100.0,-0.0009312810544538206,0.0,0.0
3,5/4/2022,13:14:04,-34.06942,18.82544,56.8,0.13,300.55,1,5,0.5888,-0.428,-1.1424,0.0,0.0,200.0,5.555555555555556e-05,2.886181695349521,0.0
4,5/4/2022,13:14:06,-34.0694,18.82542,56.8,0.24,300.55,1,5,0.416,0.208,0.216,0.0,0.0,100.0,2.777777777777778e-05,3.855399187779358,0.0
5,5/4/2022,13:14:07,-34.06939,18.82538,56.8,0.37,300.55,1,6,0.934,-0.322,-0.404,0.0,0.0,100.0,2.777777777777778e-05,3.4533686365259415,0.0
6,5/4/2022,13:14:08,-34.06936,18.82537,56.9,7.22,304.39,1,6,0.2,0.612,0.216,22170.700955806562,0.0,100.0,0.006186305821057378,5.636687103745813,0.0710233650610638
7,5/4/2022,13:14:09,-34.06931,18.82536,57.3,13.19,349.9,1,6,26.5464,-0.428,2.02,57161.738793056655,0.0,200.0,0.015933816331404626,14.123777576519304,0.07086187714713364
8,5/4/2022,13:14:11,-34.06919,18.82541,58.3,19.72,15.34,1,6,0.848,-0.852,-2.048,49806.97359499289,0.0,100.0,0.013863048220831358,8.249173146451295,0.03637530247195426
9,5/4/2022,13:14:12,-34.06912,18.82544,58.6,25.26,21.71,1,6,0.848,-0.852,-2.048,48691.64379440989,0.0,100.0,0.013553234387336079,9.611437740023197,0.0
10,5/4/2022,13:14:13,-34.06904,18.82548,58.7,30.28,23.94,1,6,0.848,-0.852,-2.048,70182.84278969766,0.0,100.0,0.01952301188602713,9.611438967443341,0.0
11,5/4/2022,13:14:14,-34.06896,18.82552,58.9,36.45,21.79,1,6,0.848,-0.852,-2.048,75347.35863465858,0.0,200.0,0.02098537739851627,21.63406397135223,0.02773759683473839
12,5/4/2022,13:14:16,-34.06878,18.82561,59.5,39.1,22.35,1,6,0.848,-0.852,-2.048,19943.573590732198,0.0,100.0,0.005567659330758944,10.655830530001198,0.046939903809720525
13,5/4/2022,13:14:17,-34.06869,18.82565,60.0,38.17,21.53,1,6,0.848,-0.852,-2.048,41318.58312917739,0.0,100.0,0.011505161980327052,11.014800958571335,0.05449913446253585
14,5/4/2022,13:14:18,-34.0686,18.8257,60.6,38.69,20.11,1,6,0.848,-0.852,-2.048,66698.65667697834,0.0,100.0,0.01855518241027176,11.725377330442146,0.0768321617279058
15,5/4/2022,13:14:19,-34.0685,18.82574,61.5,40.34,19.29,1,6,0.848,-0.6472,-2.048,79495.4489518642,0.0,200.0,0.022137624708851163,20.306971477561742,0.07393359555227996
16,5/4/2022,13:14:21,-34.06833,18.82582,63.0,39.41,18.36,1,6,0.848,-0.852,-2.048,7067.564150889688,0.0,100.0,0.001990990041913802,10.651612732756757,0.037561830769829704
17,5/4/2022,13:14:22,-34.06824,18.82586,63.4,37.82,21.52,1,5,0.848,-0.852,-2.048,22471.774197668685,0.0,100.0,0.00626993727713019,8.249182391535584,0.036375261687168196
18,5/4/2022,13:14:23,-34.06817,18.82589,63.7,37.52,23.71,1,5,0.848,-0.852,-2.048,0.0,-528.0483076915727,100.0,-0.00011890230769210353,6.206392057879455,0.04835610524596659
19,5/4/2022,13:14:24,-34.06812,18.82592,64.0,34.95,24.63,1,5,0.848,-0.852,-2.048,0.0,-35843.8863512799,100.0,-0.009928857319799972,4.53636528327554,0.044102455697897516
20,5/4/2022,13:14:25,-34.06808,18.82593,64.2,27.37,24.34,1,5,0.848,-0.852,-2.048,0.0,-27775.639295617468,100.0,-0.0076876775821159635,1.4430999221682477,0.0
21,5/4/2022,13:14:26,-34.06807,18.82592,64.2,21.43,24.44,1,5,0.848,-0.852,-1.2933,0.0,-22642.107339441132,200.0,-0.006233918705400314,3.4533717040080267,0.0
22,5/4/2022,13:14:28,-34.0681,18.82593,64.1,14.56,24.16,1,5,0.848,-0.852,-2.048,0.0,-5014.716491395157,100.0,-0.0013651990253875437,2.402863150846394,0.0
23,5/4/2022,13:14:29,-34.06812,18.82592,64.0,12.08,27.59,1,5,43.9853,14.676,-2.048,0.0,-7029.11320423032,100.0,-0.0019247536678417554,1.1092361690117913,0.0
24,5/4/2022,13:14:30,-34.06811,18.82592,64.1,8.39,18.39,1,5,0.848,-0.852,-2.048,0.0,-15734.757284830011,100.0,-0.004342988134675003,5.554288628979047,-0.05403861383468171
25,5/4/2022,13:14:31,-34.06816,18.82592,63.8,0.2,19.13,1,6,0.848,-0.852,-1.2933,0.0,0.0,200.0,5.555555555555556e-05,1.8462186457796714,0.0
26,5/4/2022,13:14:33,-34.06816,18.82594,63.9,0.3,19.13,1,6,0.904,-0.856,-2.048,0.0,0.0,100.0,2.777777777777778e-05,0.9231093228898366,0.0
27,5/4/2022,13:14:34,-34.06816,18.82593,63.8,0.35,19.13,1,7,0.848,-0.852,-2.048,0.0,0.0,100.0,2.777777777777778e-05,0.9231093228898366,0.0
28,5/4/2022,13:14:35,-34.06816,18.82594,63.9,0.13,19.13,1,7,0.848,-0.852,-2.048,0.0,0.0,100.0,2.777777777777778e-05,0.0,0.0
29,5/4/2022,13:14:36,-34.06816,18.82594,63.9,0.13,19.13,1,7,0.848,-0.822,-2.048,0.0,0.0,200.0,5.555555555555556e-05,0.9231093228898366,0.0
30,5/4/2022,13:14:38,-34.06816,18.82595,63.9,0.13,19.13,1,7,0.904,-0.852,-2.048,0.0,0.0,100.0,2.777777777777778e-05,0.0,0.0
31,5/4/2022,13:14:39,-34.06816,18.82595,63.9,0.15,19.13,1,7,44.2413,-0.852,-2.048,0.0,0.0,100.0,2.777777777777778e-05,1.443099379148541,0.0
32,5/4/2022,13:14:40,-34.06815,18.82594,63.9,0.15,19.13,1,7,0.848,-0.322,-2.048,0.0,0.0,100.0,2.777777777777778e-05,0.0,0.0
33,5/4/2022,13:14:41,-34.06815,18.82594,63.9,0.07,19.13,1,7,0.632,-0.1453,-0.5387,0.0,0.0,100.0,2.777777777777778e-05,1.8462188626788756,0.0
34,5/4/2022,13:14:42,-34.06815,18.82592,63.9,0.06,19.13,1,7,0.2,0.208,0.216,0.0,0.0,100.0,2.777777777777778e-05,0.9231094313394387,0.0
